,names,x,y,z
48,Danny Welbeck,-7548.919802381914,-851.2921462608899,-131.8640461206746
49,Donny van de Beek,-12837.925121519678,792.5925318586883,-584.4153739543082
50,Harry Toffolo,-5095.393782306657,1227.0034705259727,-897.9621986227118
51,Ra?l Jim?nez,-9062.996205387179,-169.45945816045926,-256.75113665089566
52,Sasa Kalajdzic,-12287.215788090256,704.310418288585,-582.4314388976275
53,Willy Kambwala,-9776.74095050079,632.7459107621929,-498.46400790095583
54,Boubacar Traor?,-6599.897774165682,-100.88184729787535,-808.157135444714
55,Hugo Bueno,-8022.485808640982,-204.6553771334119,-221.56198385056234
56,Luke Thomas,-8559.65816359998,680.4107826938977,-610.1417590378729
57,Mahmoud Dahoud,-8573.406939488972,136.2809571110081,-762.9518483728353
58,Michael Keane,-9007.187983036674,788.3942739960968,-736.5976972682183
59,Arijanet Muric,1013.7856361863612,4253.601330126778,1257.1299986892222
60,Auston Trusty,701.2663482047232,980.9436990865429,-1221.541493602851
61,Chris Wood,-9098.09874662817,56.14893373106223,-557.9868837176357
62,Dara O'Shea,17675.610544307227,335.5091031608325,-378.9439911554922
63,Jamaal Lascelles,-171.9951710904475,30.28393488294545,-706.3531514179249
64,Jeffrey Schlupp,-8919.397318980262,-16.777769050398103,-167.5826508371854
65,Leander Dendoncker,-12077.125898926099,689.1761794750724,-683.9186093513085
66,Matt Turner,2424.926261915554,5500.478229526676,1205.6336321181557
67,Matz Sels,-3508.1096001183755,3508.2737903595444,249.02945004934406
68,Ben Johnson,-8435.636246927446,382.68846599818147,21.848634241060182
69,Chiedozie Ogbene,-2888.9387542771456,-2568.612540741416,3522.433848087427
70,Christian Eriksen,-1583.5397117364405,-511.08533783732486,-948.2282996096556
71,Dan Burn,11748.493057806318,774.9076973447608,-1515.103977342257
72,Danny Ings,-11889.653274323577,523.825874628992,-476.0902376472132
73,David Brooks,-11017.629482845517,640.3870915954271,-237.129034954263
74,Facundo Pellistri,-12046.34117082834,498.13387238974053,-327.9370415541539
75,Jacob Bruun Larsen,-5957.13272328888,-819.4978741598602,281.3693675955839
76,Naouirou Ahamada,-10102.673149133761,230.4442230905199,-235.59301715270274
77,Pascal Gro?,34099.83661722695,-2960.5859507750342,-587.3788169319906
78,Ross Barkley,10936.716582212423,-1776.9931609842106,400.22138025320373
79,Santiago Bueno,-5028.528910380793,128.22133029728766,-529.1425952387871
80,Vladim?r Coufal,9034.685193544778,1634.0385061730603,1218.1953993543864
81,Adama Traor?,-10998.170823248276,154.75744490949515,271.680599381178
82,Alejo V?liz,-12752.960250142627,767.173157312819,-593.5415266039279
83,Anass Zaroury,-12058.110422345106,552.9896190325342,-479.43780186350153
